LA,Name,BNG_E,BNG_N,LONG,LAT,GlobalID,Shape__Area,Shape__Length,SC,Pop,Store_Density,South check
E09000029,Sutton,527356,163640,-0.17227,51.35756,c6495b09-f9e2-40a5-bb30-36a233758e69,43842789.96,39804.21531,5,209610,41922,South
E09000030,Tower Hamlets,536340,181452,-0.03647,51.51554,8a4643f9-9521-4e16-abce-8e71efc45bac,21576472.91,26810.73572,6,310295,51715.83333,South
E09000031,Waltham Forest,537327,190277,-0.01881,51.59461,72a9cce0-8bf9-4b44-86b2-69713c4223b5,38807995.95,33326.69078,3,278420,92806.66667,South
E09000032,Wandsworth,525151,174138,-0.20023,51.4524,5a91025e-2e70-4087-8e8a-52d1c7c5cc9e,35220321.99,37394.4134,8,327465,40933.125,South
E09000033,Westminster,528268,180870,-0.15295,51.5122,a57e19ea-ccf8-4b29-8102-d3543f060abc,22030013.05,27150.53449,14,204390,14599.28571,South
W06000009,Pembrokeshire,199821,221392,-4.90818,51.85513,6bb5b082-4929-4243-ae63-f5ac49a7e2f9,1651199087,569499.3249,8,123435,15429.375,South
W06000010,Carmarthenshire,247954,224133,-4.2111,51.89495,edf16d67-28cd-46f5-be93-48c0fd4c5458,2440243291,362998.534,7,187840,26834.28571,South
W06000011,Swansea,264022,197308,-3.96723,51.65806,663638ff-3b7e-4c0a-89a2-bd728e3d8617,419393579.8,152596.2879,15,238430,15895.33333,South
W06000012,Neath Port Talbot,279261,195412,-3.74638,51.6445,ffefba9c-2a6d-4dba-bd04-f75647a2997a,451880814.9,136036.2932,4,142250,35562.5,South
W06000013,Bridgend,288231,185870,-3.61375,51.5606,4b52afb3-7776-46ce-8dce-6d019976cbb7,255120918.7,90743.00694,11,145450,13222.72727,South
W06000014,Vale of Glamorgan,302947,173080,-3.39801,51.44836,dc3034f9-c85e-448a-9502-a9a0616772eb,339804335.2,102745.4392,9,131935,14659.44444,South
W06000015,Cardiff,315272,178887,-3.22209,51.50254,55bf892f-2f94-485d-90d1-c64a77528906,149444861,70140.14564,32,362220,11319.375,South
W06000016,Rhondda Cynon Taf,302237,192395,-3.41359,51.62185,7b377ab9-815e-488d-b5c9-0beb7a6c0e15,424150476,130225.2738,16,237555,14847.1875,South
W06000018,Caerphilly,317245,195259,-3.19753,51.65001,fcf0b3de-28c2-4df4-95ed-2d220ac7dfac,277387807.1,116195.7278,12,175890,14657.5,South
W06000019,Blaenau Gwent,318236,206771,-3.18592,51.75364,0b8a0d89-bf88-426f-a9ba-8f5cc78d9de9,108728046.1,65601.56777,4,66905,16726.25,South
W06000020,Torfaen,327459,200480,-3.05101,51.69836,a9bfd875-581d-4b13-a88c-0be157037504,126239929.8,82540.0393,7,92260,13180,South
W06000021,Monmouthshire,337812,209231,-2.9028,51.77827,856d4586-ee01-46c6-8030-155676e72ec8,886044959.9,250870.5434,7,92920,13274.28571,South
W06000022,Newport,337897,187432,-2.89769,51.58231,9ded1cac-b393-4732-a068-4fbe1e8881cc,217517982.9,135644.597,13,159560,12273.84615,South
W06000024,Merthyr Tydfil,305916,206424,-3.36425,51.74858,0c604196-e06d-4644-8fa0-cf983deefc3f,111956970.9,66689.08106,6,58815,9802.5,South
,,,,,,,,,,,,
